交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
188,空头进场,2023-03-14 15:02,①挂空,1900.81,1,1900.81,-1.09,-0.06,5.38,0.28,-1.18,-0.06,103.06,1.03
189,空头出场,2023-03-15 03:02,✅移动止盈,1903.12,1,1900.81,-2.31,-0.12,0.85,0.04,-2.31,-0.12,100.75,1.01
189,空头进场,2023-03-15 02:02,①挂空,1900.81,1,1900.81,-2.31,-0.12,0.85,0.04,-2.31,-0.12,100.75,1.01
190,多头出场,2023-03-15 20:02,❌止损,1913.91,1,1930.34,-16.43,-0.85,7.05,0.37,-16.43,-0.85,84.32,0.84
190,多头进场,2023-03-15 18:02,①挂多,1930.34,1,1930.34,-16.43,-0.85,7.05,0.37,-16.43,-0.85,84.32,0.84
191,多头出场,2023-03-20 02:02,✅移动止盈,1973.55,1,1937.39,36.16,1.87,51.1,2.64,0,0.00,120.48,1.20
191,多头进场,2023-03-17 14:02,①挂多,1937.39,1,1937.39,36.16,1.87,51.1,2.64,0,0.00,120.48,1.20
192,空头出场,2023-03-21 11:02,✅移动止盈,1966.63,1,1965.88,-0.75,-0.04,2.88,0.15,-0.75,-0.04,119.73,1.20
192,空头进场,2023-03-21 10:02,①挂空,1965.88,1,1965.88,-0.75,-0.04,2.88,0.15,-0.75,-0.04,119.73,1.20
193,空头出场,2023-03-21 13:02,✅移动止盈,1968.9,1,1965.88,-3.02,-0.15,1.52,0.08,-3.02,-0.15,116.71,1.17
193,空头进场,2023-03-21 12:02,①挂空,1965.88,1,1965.88,-3.02,-0.15,1.52,0.08,-3.02,-0.15,116.71,1.17
194,多头出场,2023-03-22 21:02,✅移动止盈,1966.7,1,1946.28,20.42,1.05,32.58,1.67,-1.41,-0.07,137.13,1.37
194,多头进场,2023-03-22 16:02,①挂多,1946.28,1,1946.28,20.42,1.05,32.58,1.67,-1.41,-0.07,137.13,1.37
195,多头出场,2023-04-05 17:02,✅移动止盈,2011.49,1,1978.86,32.63,1.65,53.21,2.69,-34.8,-1.76,169.76,1.70
195,多头进场,2023-03-23 10:02,①挂多,1978.86,1,1978.86,32.63,1.65,53.21,2.69,-34.8,-1.76,169.76,1.70
196,空头出场,2023-04-06 06:02,✅移动止盈,2010.97,1,2010.06,-0.91,-0.05,2.02,0.10,-0.95,-0.05,168.85,1.69
196,空头进场,2023-04-06 05:02,①挂空,2010.06,1,2010.06,-0.91,-0.05,2.02,0.10,-0.95,-0.05,168.85,1.69
197,空头出场,2023-04-06 17:02,✅移动止盈,2001.97,1,2010.06,8.09,0.40,9.22,0.46,0,0.00,176.94,1.77
197,空头进场,2023-04-06 16:02,①挂空,2010.06,1,2010.06,8.09,0.40,9.22,0.46,0,0.00,176.94,1.77
198,空头出场,2023-04-06 19:02,✅移动止盈,2011.16,1,2010.06,-1.1,-0.05,0.91,0.05,-1.1,-0.05,175.84,1.76
198,空头进场,2023-04-06 18:02,①挂空,2010.06,1,2010.06,-1.1,-0.05,0.91,0.05,-1.1,-0.05,175.84,1.76
199,空头出场,2023-04-06 21:02,✅移动止盈,2010.31,1,2010.06,-0.25,-0.01,1.32,0.07,-0.25,-0.01,175.59,1.76
199,空头进场,2023-04-06 20:02,①挂空,2010.06,1,2010.06,-0.25,-0.01,1.32,0.07,-0.25,-0.01,175.59,1.76
200,空头出场,2023-04-10 18:02,✅移动止盈,1988.77,1,1988.06,-0.71,-0.04,6.35,0.32,-3.96,-0.20,174.88,1.75
200,空头进场,2023-04-10 17:02,①挂空,1988.06,1,1988.06,-0.71,-0.04,6.35,0.32,-3.96,-0.20,174.88,1.75
201,多头出场,2023-04-12 10:02,✅移动止盈,2012.97,1,2007.49,5.48,0.27,13.64,0.68,0,0.00,180.36,1.80
201,多头进场,2023-04-12 04:02,①挂多,2007.49,1,2007.49,5.48,0.27,13.64,0.68,0,0.00,180.36,1.80
202,多头出场,2023-04-13 17:02,✅移动止盈,2036.82,1,2028.25,8.57,0.42,20.53,1.01,-3.19,-0.16,188.93,1.89
202,多头进场,2023-04-13 11:02,①挂多,2028.25,1,2028.25,8.57,0.42,20.53,1.01,-3.19,-0.16,188.93,1.89
203,空头出场,2023-04-14 12:02,✅移动止盈,2035.05,1,2033.64,-1.41,-0.07,1.81,0.09,-1.43,-0.07,187.52,1.88
