交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
37,多头出场,2025-06-16 16:02,❌止损,3391.04,1,3444.56,-53.52,-1.55,6.63,0.19,-53.52,-1.55,260.79,0.03
37,多头进场,2025-06-16 01:02,①挂多,3444.56,1,3444.56,-53.52,-1.55,6.63,0.19,-53.52,-1.55,260.79,0.03
38,空头出场,2025-06-16 18:02,✅移动止盈,3399.87,1.4,4749.794,-10.02,-0.21,4.13,0.09,-11.06,-0.23,250.77,0.03
38,空头进场,2025-06-16 17:02,②⚡追空,3392.71,1.4,4749.794,-10.02,-0.21,4.13,0.09,-11.06,-0.23,250.77,0.03
39,多头出场,2025-06-17 17:02,❌止损,3366.59,1,3391.81,-25.22,-0.74,5.65,0.17,-25.22,-0.74,225.55,0.02
39,多头进场,2025-06-17 16:02,①挂多,3391.81,1,3391.81,-25.22,-0.74,5.65,0.17,-25.22,-0.74,225.55,0.02
40,多头出场,2025-06-19 09:02,❌止损,3356.39,1,3391.81,-35.42,-1.04,8.22,0.24,-35.42,-1.04,190.13,0.02
40,多头进场,2025-06-17 21:02,①挂多,3391.81,1,3391.81,-35.42,-1.04,8.22,0.24,-35.42,-1.04,190.13,0.02
41,空头出场,2025-06-19 11:02,✅移动止盈,3363.73,1.4,4700.332,-8.89,-0.19,9.39,0.20,-16.42,-0.35,181.24,0.02
41,空头进场,2025-06-19 10:02,②⚡追空,3357.38,1.4,4700.332,-8.89,-0.19,9.39,0.20,-16.42,-0.35,181.24,0.02
42,空头出场,2025-06-20 07:02,✅移动止盈,3355.04,1,3347.69,-7.35,-0.22,2.98,0.09,-7.35,-0.22,173.89,0.02
42,空头进场,2025-06-20 06:02,①挂空,3347.69,1,3347.69,-7.35,-0.22,2.98,0.09,-7.35,-0.22,173.89,0.02
43,多头出场,2025-06-23 02:02,✅移动止盈,3377.18,1,3357.88,19.3,0.57,30.78,0.92,0,0.00,193.19,0.02
43,多头进场,2025-06-20 16:02,①挂多,3357.88,1,3357.88,19.3,0.57,30.78,0.92,0,0.00,193.19,0.02
44,空头出场,2025-06-24 16:02,✅移动止盈,3315.14,1,3316.08,0.94,0.03,11.58,0.35,0,0.00,194.13,0.02
44,空头进场,2025-06-24 15:02,①挂空,3316.08,1,3316.08,0.94,0.03,11.58,0.35,0,0.00,194.13,0.02
45,多头出场,2025-06-27 14:02,❌止损,3279.61,1,3328.96,-49.35,-1.48,21.31,0.64,-49.35,-1.48,144.78,0.01
45,多头进场,2025-06-25 03:02,①挂多,3328.96,1,3328.96,-49.35,-1.48,21.31,0.64,-49.35,-1.48,144.78,0.01
46,空头出场,2025-06-27 17:02,✅移动止盈,3272.43,1.4,4593.988,12.59,0.27,35.81,0.78,-0.7,-0.02,157.36,0.02
46,空头进场,2025-06-27 15:02,②⚡追空,3281.42,1.4,4593.988,12.59,0.27,35.81,0.78,-0.7,-0.02,157.36,0.02
47,多头出场,2025-07-01 16:02,✅移动止盈,3347.48,1,3296.82,50.66,1.54,61.22,1.86,-4.66,-0.14,208.02,0.02
47,多头进场,2025-06-30 19:02,①挂多,3296.82,1,3296.82,50.66,1.54,61.22,1.86,-4.66,-0.14,208.02,0.02
48,多头出场,2025-07-03 02:02,✅移动止盈,3356.74,1,3351.24,5.5,0.16,14.5,0.43,0,0.00,213.52,0.02
48,多头进场,2025-07-02 21:02,①挂多,3351.24,1,3351.24,5.5,0.16,14.5,0.43,0,0.00,213.52,0.02
49,多头出场,2025-07-10 06:02,✅移动止盈,3315.39,1,3308.03,7.36,0.22,18.31,0.55,-1.63,-0.05,220.88,0.02
49,多头进场,2025-07-09 17:02,①挂多,3308.03,1,3308.03,7.36,0.22,18.31,0.55,-1.63,-0.05,220.88,0.02
50,空头出场,2025-07-10 16:02,✅移动止盈,3326.35,1,3319.92,-6.43,-0.19,1.93,0.06,-9.52,-0.29,214.45,0.02
50,空头进场,2025-07-10 15:02,①挂空,3319.92,1,3319.92,-6.43,-0.19,1.93,0.06,-9.52,-0.29,214.45,0.02
51,多头出场,2025-07-11 10:02,✅移动止盈,3332.49,1,3330.26,2.23,0.07,13.68,0.41,-4.96,-0.15,216.68,0.02
51,多头进场,2025-07-11 03:02,①挂多,3330.26,1,3330.26,2.23,0.07,13.68,0.41,-4.96,-0.15,216.68,0.02
52,空头出场,2025-07-14 16:02,✅移动止盈,3349.3,1,3353.54,4.24,0.13,6.31,0.19,0,0.00,220.92,0.02
52,空头进场,2025-07-14 15:02,①挂空,3353.54,1,3353.54,4.24,0.13,6.31,0.19,0,0.00,220.92,0.02
53,空头出场,2025-07-14 18:02,✅移动止盈,3344.82,1,3353.54,8.72,0.26,12.46,0.37,0,0.00,229.64,0.02
53,空头进场,2025-07-14 17:02,①挂空,3353.54,1,3353.54,8.72,0.26,12.46,0.37,0,0.00,229.64,0.02
54,空头出场,2025-07-18 23:02,✅移动止盈,3348.64,1,3347.9,-0.74,-0.02,0.19,0.01,-0.74,-0.02,228.9,0.02
54,空头进场,2025-07-18 22:02,①挂空,3347.9,1,3347.9,-0.74,-0.02,0.19,0.01,-0.74,-0.02,228.9,0.02
55,空头出场,2025-07-23 16:02,✅移动止盈,3417.26,1,3419.34,2.08,0.06,2.54,0.07,0,0.00,230.98,0.02
55,空头进场,2025-07-23 15:02,①挂空,3419.34,1,3419.34,2.08,0.06,2.54,0.07,0,0.00,230.98,0.02
56,多头出场,2025-08-04 02:02,✅移动止盈,3358.7,1,3355.12,3.58,0.11,11.05,0.33,0,0.00,234.56,0.02
56,多头进场,2025-08-01 22:02,①挂多,3355.12,1,3355.12,3.58,0.11,11.05,0.33,0,0.00,234.56,0.02
57,空头出场,2025-08-08 18:02,✅移动止盈,3392.4,1,3384.34,-8.06,-0.24,3.02,0.09,-8.06,-0.24,226.5,0.02
57,空头进场,2025-08-08 17:02,①挂空,3384.34,1,3384.34,-8.06,-0.24,3.02,0.09,-8.06,-0.24,226.5,0.02
58,空头出场,2025-08-08 21:02,✅移动止盈,3391.92,1,3384.34,-7.58,-0.22,5.14,0.15,-7.58,-0.22,218.92,0.02
58,空头进场,2025-08-08 20:02,①挂空,3384.34,1,3384.34,-7.58,-0.22,5.14,0.15,-7.58,-0.22,218.92,0.02
59,空头出场,2025-08-11 04:02,✅移动止盈,3381.48,1,3384.34,2.86,0.08,5.54,0.16,0,0.00,221.78,0.02
59,空头进场,2025-08-11 03:02,①挂空,3384.34,1,3384.34,2.86,0.08,5.54,0.16,0,0.00,221.78,0.02
60,多头出场,2025-08-19 17:02,❌止损,3321.32,1,3358.11,-36.79,-1.10,16.6,0.49,-36.79,-1.10,184.99,0.02
