signal_id,timestamp,symbol,decision,coarse_result,fine_result,coarse_reason,fine_reason,box_score,rsi,atr
61,1732914000.0,XAUUSD,NONE,NONE,NONE,"上升趋势, 不适合交易时段",粗筛已拒绝,100.0,37.840016119282446,6.599285714285737
62,1733169600.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,80.47895654682874,60.09603841536584,7.3492857142856725
63,1733245200.0,XAUUSD,BOTH,BOTH,BOTH,趋势不明确,所有精筛规则通过,71.87568903691432,54.19978517722861,6.515000000000035
64,1733320800.0,XAUUSD,NONE,BOTH,NONE,趋势不明确,箱体质量不足,53.794460313133314,41.5218536071616,5.22000000000006
65,1733396400.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,78.96517412935316,44.070647603027815,5.330000000000057
66,1733472000.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,100.0,49.374903534495765,7.587142857142843
67,1733720400.0,XAUUSD,NONE,BOTH,NONE,趋势不明确,箱体质量不足,68.8210369009005,50.177419354838904,9.240714285714278
68,1733796000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,60.55293324342551,6.0764285714285835
69,1733868000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,73.8252086078176,6.560000000000075
70,1733943600.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,68.62842070557215,9.526428571428628
71,1734019200.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,"RSI 超卖, 价格接近下边界",75.63801618748947,21.429648620117703,8.987857142857106
72,1734094800.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,98.712077847738,32.74482109227871,6.132142857142851
73,1734343200.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,88.73714291830407,52.716049382715674,5.110714285714201
74,1734418800.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,62.64131840935971,47.44013212221353,4.137857142857131
75,1734494400.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,79.15917544490472,57.65320941039772,5.328571428571422
76,1734570000.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,"RSI 超卖, 价格接近下边界",100.0,9.090909090909435,8.996428571428623
77,1734642000.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,87.93789492688174,41.224970553592705,8.112857142857106
78,1734717600.0,XAUUSD,NONE,NONE,NONE,"下降趋势, 不适合交易时段",粗筛已拒绝,100.0,81.10691264725567,6.407857142857113
79,1734966000.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,63.85904114675366,40.685341310851356,5.750000000000033
80,1735041600.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,54.07712283087645,61.390762843799244,3.5935714285714573
81,1735214400.0,XAUUSD,SHORT_ONLY,BOTH,SHORT_ONLY,趋势不明确,"RSI 超买, 价格接近上边界",95.92558466061264,85.27946873270317,3.720714285714231
82,1735290000.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,76.92102056059983,53.393025447690874,3.9692857142857583
83,1735538400.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,100.0,54.74492594624262,5.327857142857218
84,1735614000.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,97.16780835636767,48.32178037212722,6.519285714285778
85,1735686000.0,XAUUSD,SHORT_ONLY,BOTH,SHORT_ONLY,趋势不明确,价格接近上边界,97.2252061215651,68.71468926553585,5.469285714285694
86,1735848000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,83.11728395061586,7.2085714285714335
87,1735923600.0,XAUUSD,NONE,NONE,NONE,"上升趋势, 不适合交易时段",粗筛已拒绝,73.15002503994619,27.347177537292268,5.84214285714279
88,1736172000.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,89.24112502706322,55.97862391449555,6.424285714285751
89,1736247600.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,89.6252862947049,64.13133832086518,3.9778571428571143
90,1736323200.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,81.9635902545065,59.91266375545859,4.216428571428618
91,1736398800.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,90.25771962020279,57.098943323727106,6.779285714285769
92,1736474400.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,82.14583562299147,60.74301034086538,5.030714285714274
93,1736546400.0,XAUUSD,NONE,NONE,NONE,"上升趋势, 不适合交易时段",粗筛已拒绝,100.0,63.54936929099625,8.1521428571428
94,1736794800.0,XAUUSD,LONG_ONLY,BOTH,LONG_ONLY,趋势不明确,"RSI 超卖, 价格接近下边界",94.66579875980679,19.277929155313075,7.154285714285769
95,1736870400.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,62.878380420002735,40.96385542168713,5.689285714285721
96,1736946000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,67.4890165596496,4.250714285714237
97,1737021600.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,89.68829127739491,69.09657320872287,4.215000000000048
98,1737097200.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,97.00340052980623,33.70139222275496,4.207142857142961
99,1737345600.0,XAUUSD,LONG_ONLY,BOTH,LONG_ONLY,趋势不明确,价格接近下边界,100.0,39.31882305521928,6.187857142857183
100,1737428400.0,XAUUSD,NONE,BOTH,NONE,趋势不明确,箱体质量不足,64.98149861239632,62.6561776955108,7.2028571428571855
101,1737500400.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,66.1732694819334,6.283571428571349
102,1737576000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,76.00443319682005,55.86319218241025,7.22928571428575
103,1737651600.0,XAUUSD,BOTH,BOTH,BOTH,趋势不明确,所有精筛规则通过,96.60127268995167,40.84465445953866,5.882857142857152
104,1737727200.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,84.74185174502445,5.442857142857195
105,1737975600.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,100.0,41.391184573002604,6.684285714285709
106,1738051200.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,100.0,45.36686186703446,4.87928571428571
107,1738126800.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,84.31137724550946,3.500714285714334
108,1738202400.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,48.9838613269578,5.972142857142899
109,1738274400.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,80.47735618115078,6.2885714285714585
110,1738350000.0,XAUUSD,NONE,NONE,NONE,"上升趋势, 不适合交易时段",粗筛已拒绝,100.0,65.75587334014361,6.408571428571382
111,1738598400.0,XAUUSD,SHORT_ONLY,BOTH,SHORT_ONLY,趋势不明确,"RSI 超买, 价格接近上边界",100.0,75.58949624866,8.71214285714281
112,1738674000.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,58.86135057471225,48.40439796191999,6.275000000000026
113,1738749600.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,85.57258791704105,5.717857142857189
114,1738825200.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,60.32060951138564,46.77749360613812,7.363571428571406
115,1738900800.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,97.9777263618327,52.47121346324221,6.98357142857133
116,1739149200.0,XAUUSD,BOTH,BOTH,BOTH,趋势不明确,所有精筛规则通过,100.0,50.918635170603835,9.817857142857163
117,1739221200.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,74.68528717545202,8.445714285714237
118,1739296800.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,100.0,37.23635235732035,10.5142857142858
119,1739372400.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,72.78663052823947,33.68644067796667,8.640000000000034
120,1739448000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,79.2562463683906,6.2871428571428885
121,1739523600.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,94.28408442669667,72.00686947988292,5.392142857142777
122,1739772000.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,100.0,36.78717853149465,11.22000000000006
123,1739854800.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,48.56878863794401,59.0040532715688,5.032142857142811
124,1739930400.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,70.3631010794897,5.944285714285797
125,1740002400.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,81.9022293682946,53.34518422753704,8.160714285714318
126,1740078000.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,88.50119273844632,48.5719992011186,8.13714285714283
127,1740153600.0,XAUUSD,NONE,NONE,NONE,"下降趋势, 不适合交易时段",粗筛已拒绝,76.45066979402388,44.5825932504441,9.547857142857149
128,1740402000.0,XAUUSD,NONE,BOTH,NONE,趋势不明确,箱体质量不足,66.91205480045967,61.47293700088768,8.235714285714298
129,1740477600.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,68.18637156737752,47.86184210526352,6.186428571428548
130,1740553200.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,100.0,39.675383228133285,10.41285714285719
131,1740628800.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,77.36458663287883,42.18093342180908,7.124285714285699
132,1740704400.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,100.0,46.22270446222722,9.754999999999947
133,1740776400.0,XAUUSD,NONE,NONE,NONE,"下降趋势, 不适合交易时段",粗筛已拒绝,100.0,39.556191839656215,9.411428571428587
134,1741024800.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,73.6270368135186,7.477857142857082
135,1741100400.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,74.80711698945056,8.54071428571433
136,1741176000.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,62.16617571877208,46.48780487804873,7.6807142857143
137,1741251600.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,76.49833507680786,36.26373626373631,6.230000000000018
138,1741327200.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,77.18869762909996,52.65141995476215,7.588571428571413
139,1741575600.0,XAUUSD,BOTH,BOTH,BOTH,趋势不明确,所有精筛规则通过,72.50121559414207,46.17380025940322,9.240000000000075
140,1741647600.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,92.88509644298416,33.24916943521612,10.848571428571404
141,1741723200.0,XAUUSD,SHORT_ONLY,BOTH,SHORT_ONLY,趋势不明确,"RSI 超买, 价格接近上边界",100.0,78.96924355777219,6.588571428571478
142,1741798800.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,66.80596977907945,60.44597823201471,7.23071428571432
143,1741874400.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,65.08490346592237,5.647857142857122
144,1741950000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,66.11177170035651,6.5300000000000376
145,1742198400.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,价格接近下边界,70.2988627347261,51.15251026207771,5.320000000000001
146,1742274000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,90.68561174069998,65.0548466532346,5.991428571428709
147,1742349600.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,55.33834586466201,6.3700000000000205
148,1742421600.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,81.02180824362773,52.396391316605644,9.039999999999964
149,1742497200.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,84.84323129753886,42.838468720821616,8.059285714285709
150,1742572800.0,XAUUSD,NONE,NONE,NONE,"下降趋势, 不适合交易时段",粗筛已拒绝,84.22962833711452,16.045796308953996,7.872142857142827
151,1742821200.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,90.55901904729124,58.95710681244759,7.01928571428568
152,1742896800.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,88.58818314745838,51.98575732675953,5.033571428571544
153,1742972400.0,XAUUSD,LONG_ONLY,BOTH,LONG_ONLY,趋势不明确,价格接近下边界,84.2490151211328,30.899351564702442,5.200714285714249
154,1743048000.0,XAUUSD,NONE,BOTH,NONE,趋势不明确,箱体质量不足,66.32632908210662,50.53593947036593,5.276428571428531
155,1743123600.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,63.37349397590368,8.080714285714262
156,1743195600.0,XAUUSD,NONE,NONE,NONE,"上升趋势, 不适合交易时段",粗筛已拒绝,84.29468561470712,54.248839907192746,10.289285714285663
157,1743444000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,62.068527918781896,11.493571428571451
158,1743519600.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,81.59845864031168,58.85215640208088,9.205714285714294
159,1743595200.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,75.77985964205384,62.23573704025508,8.728571428571351
160,1743670800.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,100.0,50.879109963246236,16.541428571428632
161,1743746400.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,88.08343675564876,60.09445100354191,16.487857142857138
162,1743994800.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,"RSI 超卖, 价格接近下边界",100.0,21.028885546854795,30.037142857142822
163,1744066800.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,73.93145366775671,29.873737373737526,19.695714285714303
164,1744142400.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,72.87754758628952,44.77562692476893,12.624285714285666
165,1744218000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,79.45384464624019,19.408571428571413
166,1744293600.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,79.68556215240362,72.17703601985832,15.30428571428573
167,1744369200.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,76.00430065487237,16.24000000000001
168,1744617600.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,43.22566363442689,51.89738107963643,13.787857142857092
169,1744693200.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,66.44221647662837,50.55865921787712,11.415714285714298
170,1744768800.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,71.51588936234099,70.10670223407777,9.220714285714264
171,1744840800.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,87.22019368153651,13.906428571428576
172,1744916400.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,100.0,37.57837393360053,14.678571428571429
